ds,yhat,yhat_lower,yhat_upper
2019-07-03,-117006376.61552739,-371718278.4158835,143362846.21424258
2019-07-04,-117603025.97986177,-374400577.0469294,145741009.87167388
2019-07-05,-116520338.9714481,-375377658.5641962,149562240.5277732
2019-07-06,-118503120.60650875,-379314275.6853031,149642600.45929563
2019-07-07,-118051075.6627078,-380590712.6772577,151976227.4170173
2019-07-08,-118015504.7163038,-382934744.2723383,153947977.4983609
2019-07-09,-117743127.77068542,-385669929.6373315,156216063.55574793
2019-07-10,-116865832.07067065,-387531035.1221506,159266339.0959881
2019-07-11,-115695503.80983344,-387882022.3123054,163277283.50962183
2019-07-12,-112883106.57331918,-386579293.1028874,167771957.4545632
2019-07-13,-113206700.35900529,-388747825.82504976,168539699.58767056
2019-07-14,-111197225.76040156,-389072885.1408331,172506411.7274464
2019-07-15,-109734491.70336793,-389246582.7756861,175801106.68827417
2019-07-16,-108190376.58401544,-389222615.04773855,178836972.16912428
2019-07-17,-106218054.18207265,-388787252.6799209,182286375.02209046
2019-07-18,-104146415.73901507,-388053585.15463656,185729291.64249727
2019-07-19,-100638859.35609674,-386341889.5286041,191755869.2360096
2019-07-20,-100481145.32781506,-387882692.962778,194542009.69533417
2019-07-21,-98207143.1620121,-388237427.2358717,197764464.29638758
2019-07-22,-96694906.28187524,-388642125.0811119,201624415.0430865
2019-07-23,-95310078.43874796,-389169525.29150695,205416638.2556373
2019-07-24,-93695434.20880984,-389551493.58620036,209114096.13060108
2019-07-25,-92165713.107423,-389536594.7110993,212854674.53666463
2019-07-26,-89366904.17021137,-388824573.8406878,216573700.9223187
2019-07-27,-90064663.32869126,-390940524.14383894,216980083.25994363
2019-07-28,-88770671.57928558,-391186090.86495245,219942844.4036774
2019-07-29,-88339351.27453646,-392413885.7120073,222476826.93149728
2019-07-30,-88111925.5504667,-393862684.02067506,224763084.24748707
2019-07-31,-87706604.46550341,-395169679.63328844,227322954.9052895
2019-08-01,-87414039.35098906,-395995313.5949798,229541737.4833004
2019-08-02,-85857185.46601522,-396693792.2915857,233267815.01637602
2019-08-03,-87780240.27066545,-400873995.02554977,233690952.38168716
2019-08-04,-87675452.44783074,-402811424.45327693,235873372.16043475
2019-08-05,-88380208.60986845,-405345971.4959427,237376619.76856703
2019-08-06,-89221375.03639272,-407896323.7508968,239381377.87868154
2019-08-07,-89805673.23791029,-410320761.56747943,241634772.8038941
2019-08-08,-90415229.02225867,-412884407.6795594,243685530.11669937
2019-08-09,-89667436.27156144,-414762535.10848176,247157927.2149734
2019-08-10,-92303806.68679681,-419755795.3197195,247653026.92057756
2019-08-11,-92816607.20835942,-423523864.9453774,249938559.26238397
2019-08-12,-94045700.99217719,-426886872.4127365,250817174.82185408
2019-08-13,-95322580.25849307,-430584965.5883918,252642121.8028287
2019-08-14,-96260382.4137179,-433823979.69297093,254192704.30440652
2019-08-15,-97149042.92789567,-436937599.9496895,255530332.58875296
2019-08-16,-96614740.71664295,-437645155.8633668,258797509.2242599
2019-08-17,-99408322.0844995,-441204245.0263821,258814566.52222475
2019-08-18,-100031519.52132061,-444080026.67349523,261137908.0991825
2019-08-19,-101333395.13731629,-447198134.42495567,262918409.49206758
2019-08-20,-102654009.85513496,-450551933.39715576,264536862.57631332
2019-08-21,-103614121.06874263,-453039763.29382145,265576778.4645197
2019-08-22,-104510071.73861592,-455347896.7360905,265729584.76036158
2019-08-23,-103973034.0693298,-458624776.31343603,268186688.53553712
2019-08-24,-106757298.93865964,-464491193.351293,268184584.06712154
2019-08-25,-107366430.07746755,-466973020.36766267,270313706.617645
2019-08-26,-108649713.05034573,-469596803.7492061,271726913.12530965
2019-08-27,-109945898.01492225,-473666224.40214294,273020978.2875983
2019-08-28,-110873034.54170702,-476732255.71217144,274301445.01887107
2019-08-29,-111723554.93617582,-480200873.6299208,274214547.9721035
2019-08-30,-111123760.83588448,-481481502.3556255,277596152.3995111
2019-08-31,-113822394.3414628,-485701242.9872672,277591220.6143395
2019-09-01,-114317101.58940205,-487571464.3831801,279766676.9008999
2019-09-02,-115451206.93160245,-491320346.1710209,280385343.42540896
2019-09-03,-116557784.43052031,-494374745.2156109,280849582.1182194
2019-09-04,-117249812.71393211,-496863285.0230641,281755537.3005152
2019-09-05,-117815557.83492553,-498336426.54059947,282877124.48216015
2019-09-06,-116878327.94444898,-498712128.012186,286731004.89732754
2019-09-07,-119185271.26024285,-502914041.0830439,287502841.86464065
2019-09-08,-119234016.96943629,-505311901.5148834,290303112.93415654
2019-09-09,-119869570.7264642,-508135369.256143,292441139.8546931
2019-09-10,-120428446.92086929,-510558060.4482672,292551456.0547629
2019-09-11,-120528821.32801485,-512442873.1591089,293219324.1076074
2019-09-12,-120465848.52552041,-514455595.96181357,294023428.5585177
2019-09-13,-118871289.78014849,-515025589.1328734,299078101.5448799
2019-09-14,-120502126.86808622,-518687530.289978,300985689.74000853
2019-09-15,-119866967.37983418,-519748508.44838136,303781419.03181994
2019-09-16,-119822660.81146605,-521390858.71934813,305622639.1513698
2019-09-17,-119718116.71799287,-522970528.86554456,308630540.35498774
2019-09-18,-119184118.79378325,-524088883.17104065,310372666.06750417
2019-09-19,-118528290.31854288,-525484921.92388165,313417418.7417487
2019-09-20,-116394368.16296165,-525515193.6779879,318882587.08842593
2019-09-21,-117550472.35612808,-529477774.6326032,320052053.77644354
2019-09-22,-116515187.97374071,-530351861.3002465,323076372.00106716
2019-09-23,-116153889.15529734,-531760204.8398534,325337297.76165694
2019-09-24,-115822305.98740135,-534237746.5352493,327549190.20051014
2019-09-25,-115156136.2264742,-536969605.1242601,330066002.1446426
2019-09-26,-114465863.79271524,-539122515.4399065,332701907.7223765
2019-09-27,-112395945.90007791,-539359680.5250924,336906131.01249576
2019-09-28,-113713058.52654952,-541917994.4073478,339178365.0686032
2019-09-29,-112932217.63531633,-543975671.9814067,342940323.56642383
2019-09-30,-112913204.54415323,-546640651.1735953,343974677.94157165
2019-10-01,-113004292.76036586,-548789607.537918,345041279.58744425
2019-10-02,-112832072.94808736,-549795391.570434,348099490.59342366
2019-10-03,-112696530.9481761,-551645060.6957763,349655603.78958803
2019-10-04,-111230532.23788053,-552536758.8254718,352391125.0452222
2019-10-05,-113188392.87629087,-556890231.7374859,351723192.4410646
2019-10-06,-113072343.83170904,-559194520.6876041,353168191.8862167
2019-10-07,-113729306.06834404,-562266783.8955877,354356362.5586767
2019-10-08,-114494962.55196568,-565414481.1029081,355940239.98994124
2019-10-09,-114983912.9152936,-568211584.7984196,358104685.18222046
2019-10-10,-115485055.3721394,-570979964.5219647,360297573.3295682
2019-10-11,-114621339.87085195,-572351109.4688253,363709267.9594052
2019-10-12,-117138564.38116233,-577004031.2028565,363131735.2976763
2019-10-13,-117532014.5704096,-579302696.6758573,364779084.2733159
2019-10-14,-118643359.33359627,-583143411.4652547,365890305.7441908
2019-10-15,-119804785.31037575,-586740147.9840401,365979203.38551915
2019-10-16,-120629155.08319914,-589802619.5744973,367048482.53495294
2019-10-17,-121405334.60777847,-592223082.4106113,369624051.21476734
2019-10-18,-120757836.79800004,-592939412.1850882,373133069.6421844
2019-10-19,-123435457.95397848,-597840932.5463334,372583821.76457614
2019-10-20,-123937713.77891815,-600973281.7320062,374227051.9036095
2019-10-21,-125111495.40771033,-603811319.6807088,374909100.6125058
2019-10-22,-126294937.7313101,-607951131.0493146,376202150.1844258
2019-10-23,-127107294.73834257,-610294508.4673179,377429658.1629172
2019-10-24,-127843977.98062117,-612595428.9124511,378546392.4249401
